Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,0.0
2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,-0.002511469339115502
2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,-0.07847255560218203
2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,-0.12568297475787682
2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,-0.160937491617839
2010-07-07,16.4,16.629999,14.98,15.8,15.8,6921700,-0.019242767272329764
2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,0.10506322784810118
2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,-0.0034363690398837576
2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,-0.020114999999999883
2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,0.06392962251786649
2010-07-14,17.940001,20.15,17.76,19.84,19.84,4195200,0.09371560604826934
2010-07-15,19.940001,21.5,19.0,19.889999,19.889999,3739800,0.0025201108870966937
2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,0.037707392544363616
2010-07-19,21.370001,22.25,20.92,21.91,21.91,2486500,0.061531059182706294
2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,-0.0734824737562757
2010-07-21,20.66,20.9,19.5,20.219999,20.219999,1252500,-0.003940886893639695
2010-07-22,20.5,21.25,20.370001,21.0,21.0,957800,0.038575719019570576
2010-07-23,21.190001,21.559999,21.059999,21.290001,21.290001,653600,0.013809571428571532
2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,-0.015969938188354238
2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700,-0.019093173312974998
2010-07-28,20.549999,20.9,20.51,20.719999,20.719999,467200,0.008272506485280218
2010-07-29,20.77,20.879999,20.0,20.35,20.35,616000,-0.017857095456423555
2010-07-30,20.200001,20.440001,19.549999,19.940001,19.940001,426900,-0.020147371007371184
2010-08-02,20.5,20.969999,20.33,20.92,20.92,718100,0.04914738971176602
2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500,0.04923522944550651
2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000,-0.03143512385261393
2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200,-0.03809967074317977
2010-08-06,20.1,20.16,19.52,19.59,19.59,741900,-0.04205383657438455
2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700,0.0005104645227158588
2010-08-10,19.65,19.65,18.82,19.030001,19.030001,1281300,-0.029081581632653175
2010-08-11,18.690001,18.879999,17.85,17.9,17.9,797600,-0.059379975860222034
2010-08-12,17.799999,17.9,17.389999,17.6,17.6,691000,-0.016759776536312665
2010-08-13,18.18,18.450001,17.66,18.32,18.32,634000,0.040909090909090784
2010-08-16,18.450001,18.799999,18.26,18.780001,18.780001,485800,0.025109224890829562
2010-08-17,18.959999,19.4,18.780001,19.15,19.15,447900,0.019701756139416604
2010-08-18,19.59,19.59,18.6,18.77,18.77,601300,-0.01984334203655347
2010-08-19,18.540001,19.25,18.33,18.790001,18.790001,579100,0.001065583377730439
2010-08-20,18.65,19.110001,18.51,19.1,19.1,296000,0.01649808320925583
2010-08-23,19.09,20.389999,19.0,20.129999,20.129999,1088100,0.05392664921465973
2010-08-24,19.25,19.709999,18.950001,19.200001,19.200001,673100,-0.04619960487827157
2010-08-25,19.16,19.98,18.559999,19.9,19.9,503300,0.03645827935113122
2010-08-26,19.889999,20.27,19.6,19.75,19.75,433800,-0.007537688442211032
2010-08-27,19.75,19.870001,19.5,19.700001,19.700001,379600,-0.0025315949367088475
2010-08-30,19.700001,20.190001,19.610001,19.870001,19.870001,732800,0.008629441186322584
2010-08-31,19.66,19.790001,19.33,19.48,19.48,201100,-0.01962762860454803
2010-09-01,19.620001,20.690001,19.6,20.450001,20.450001,494900,0.04979471252566725
2010-09-02,20.370001,21.24,20.309999,21.059999,21.059999,487100,0.02982875159761611
2010-09-03,20.870001,21.299999,20.66,21.049999,21.049999,434600,-0.0004748338307138944
2010-09-07,20.610001,21.0,20.5,20.540001,20.540001,243400,-0.024227934642657156
